ID,Eesti keel,Inglise keel,Saksa keel,Vene keel,Soome keel,Seletus,,Kirjeldus
3137,sõrmtapifrees,finger joiting cutter,Verleimfräser m,фреза ж зуборезная,,Lõikeriist sõrmjätkude lõikamiseks,,
3138,sälk,"indent, kerf","Kerb m, Einschnitt m","надрез м, запил м","uurros, lovi","Sisseraie, sisselõige või täke",,
3139,säng,"bed, stand","Bett n, Gestell n, Ständer m",станина,runko,"Tööpingi kere, millel on juhikud ja millele on kinnitatud tööpingi sõlmed",,
3140,säsi,"pith, duramen","Markröhre f, Mark n",сердцевина ж,ydin,Puutüve keskosas paiknev õhukeseseinalistest rakkudest koosnev kude,,
3141,säsikiir,ray,Markstrahl m,сердцевинный луч м,säde,"Radiaalse paigutusega anatoomiline element tüves, mis täidab juht- ja säilitusfunktsiooni",,
3142,säsilõhe,"heart shake, heart check",Kernriß m,метиковая трещина ж,sydänhalkeama,"Radiaalne otsalõhe, mis väljub säsist",,
3143,säsilõhe,boxed heart check,Radialkernriß m,метиковая трещина ж,sydänhalkeama,"Radiaalne lõhe, mis väljub säsist",,
3144,"söepõletamine, miilimine",charcoal burning,Kohlenbrennerei f,углежжение ср,hiilenpoltto,Puidusöe valmistamine puidu koksistamisega kuivdestillatsioonil (utmisel),,
3145,"söepõletamine, miilimine",charcoal burning,Kohlenbrennerei f,углежжение ср,hiilenpoltto,Puidusöe valmistamine puidu koksistamisega kuivdestillatsioonil (utmisel),,
3146,söepõletus,charcoal burning,Kohlenbrennerei f,обугливание ср,"hiilen poltto, miiluhiilto",Menetlus puidusöe valmistamiseks puidu koksistamisega kuivdestillatsioonil,,
3147,söestunud puit,carbonized wood,"verkohltes Holz n, brandiges Holz n",горелая древесина ж,hiiltynyt puu,Välgulöögi või tulekahju tõttu osaliselt põlenud puit,,
3148,söögilaud,dining table,Eßtisch m,стол обеденный,ruokapöytä, Toidu söömiseks kasutatav laud,,
3149,söögitoamööbel,dining room furniture,Eßzimmermöbel n,мебель для столовой,ruokailuhuoneen kalusteet,Mööbel söögitubade sisustamiseks,,
3150,söötelaud,feed table,Vorschubtisch m,подающий стол,syöttöpöytä,Saagmasina vms etteandelaud,,
3151,söötur,feeder,Vorchubgerät n,"механизм подачи, автоподатчик","syöttölaite, syötin","Mehaanilise seade toorikute, detailide, materjali etteandeks masinasse",,
3152,südamik,core,"Kern m, Mark n","сердечник м, ядро ср","sydän, ydin, ydinosa",Millegi kesk- või siseosa,,
3153,südamikupoolne lõikus,cutting from the heart,aus dem Herz Schälen n,,,"Höövelspooni lõikamise viis, kus rootorhöövelmasinas kinnitatakse pakk maltspuidu osa poolt",,
3154,sügavimmutus,deep treatment,"Tieftränkung f, Volltränkung f ",глубокая пропитка ж,,"Immutusprotsess, mille puhul immutuslahus tungib sügavale immutusmaterjali",,
3155,sügavuspiirik (puuril),depth limiter,Bohrtiefsteller m,ограничитель м глубины сверления,,Puurile kinnitatav rakis puuritava augu sügavuse piiramiseks,,
3156,sügispuit,"latewood, summerwood",Spätholz n,древесина поздняя,kesäpuu,"Kasvurõnga osa, mis on moodustunud vegetatsiooniperioodi hilises staadiumis. Sageli suurema tihedusega ja tumedam kui kevadpuit",,
3157,sümmeetriline kihtpuit,balanced plywood,Symmetrisches Sperrholz n,симметричная слоистая древесина ж,symmetrinen vaneri,"Kihtpuit, mille kesksest sümmeetriatasapinnast paiknevad kihid võrdsel kaugusel ja on ühesuguste omadustega",,
3158,süngaas,syngas,Syngas n,синтетический газ м,synkaasu,"Puidu või muu orgaanilise materjali gaasistamisel saadav gaas, mille koostises on vesinik, süsinikoksiid, süsihappegaas ja metaan",,
3159,sünteetiline pigment,synthetic pigment,synthetisches Pigment n,синтетический пигмент м,epäorgaaninen pigmentti,"Sünteesi teel valmistatud anorgaa-niline või orgaaniline aine, mis annab värvile värvustooni",,
3160,sünteetiline spoon,plastic veneer,synthetisches Furnier n,синтетический шпон м,synteettinen kalvo,Sünteetilise liimvaiguga immutatud ja enamasti puidu tekstuuri imitatatsioontrükiga paber,,
3161,sünteetiline teemant,synthetic diamond,synthetischer Diamant m,синтетический алмаз м,synteettinen timantti,Tehislikult valmistatud teemant,,
3162,"sünteetiline vaik, sünteesvaik",synthetic resin,synthetisches Harz n,синтетическая смола,"tekohartsi, synteettinen hartsi","Vaik, mis on saadud keemilisel sünteesil",,
3163,sünteetiline vaikliim,synthetic adhesive,synthetischer Harzleim m,синтетический смоляной клей,synteettinen liima,"Sünteesvaik, millele on lisatud kõvendi",,
3164,süsinikteras,carbon steel,Flussstahl m,углеродистая сталь,hiiliteräs,"Legeerimata teras, mis sisaldab 0,04…2% süsinikku jm lisandeid (mangaan, räni fosfor, väävel)",,
3165,süsivesikute lõhustumine,carbohydrate degradation,Spaltung f der Kohlenhüdraten ,разрушение ср углеводов,hiilihydraatien hajaantuminen,Süsivesikute molekulide lagunemine peamiselt hüdrolüüsi ja oksüdatsioonireaktsioonide toimel,,
3166,"süttimispunkt, leektäpp",flash point,Flammpunkt m,точка воспламенения,,"Madalaim temperatuur, mille puhul vedeliku aur leegiga kokku puutudes süttib",,
3167,süttivus,flammability,Entzündbarkeit f,воспламеняемость ж,syttyvyys,Aine omadus jätkata põlemist pärast süütemõjuri toimet,,
3168,süvend,"recess, slot",Vertiefung f,"углубление ср, выемка ж",ura,Süvendatud koht,,
3169,"süvipuur, senkpuur",countersink bit,"Versenkbohrer m, Krauskopf m",зенкер,"upotuspora, upotin, senkkauspora",Puur senkavade puurimiseks,,
3170,süvis,countersink?,"Versenk m, Senke f",раззенковка,syvennys,"Avaga samatelgne kooniline või silindriline süvend , nt kruvi peitpea jaoks",,
3171,šabloon,"template, templet","Schablone f,  Formlehre f","шаблон, копир","malli, kaava","1. Mudel, mille järgi toimub detaili töötlemine kopeertöötlemisel 2. Mudel kuju märkimiseks toorikule",,
3172,šabloonipapp,stencil board,Schablonenpappe f,картон м для шаблонов,"leikkuumallikartonki, mallinekartonki.",Papp šabloonide valmistamiseks,,
3173,šarniirhing,joint-frame,Scharnierband n,петля шарнирная,"sarana, nivel, silmukka",Šarniiridel töötav mööbli vm hing,,
3174,"šellaklakk, prantsuse lakk",French polish,französischer Lack m,шеллаковый лак м,sellakkapulituuri,šellaki – loomse päritoluga troopilise vaigu – lahus etanoolis,,
3175,šellakpolituur,shellac polish,Schellackpolitur f,шеллачная политура ж,,Šellakvaigu alusel valmistatud polituur,,
3176,taaralauad,boxboard,Tarabrett n,тарная доска ж,laatikkolauta,Taara valmistamiseks kasutatav laud,,
3177,taarapakk,"box timber, case timber",Holzpackungabschnitt m,тарный кряж м РР,pölkky,Taaralaudade valmistamiseks kasutatav ümarpuit,,
3178,taaratööstus,container industry,Taraindusrie f,тарное пройзводство,säiliö teollisuus,Taarat tootev tööstusharu,,
3179,taatlemine,calibration,Eichen n,поверка ж ,kalibrointi,"Protseduur, mille käigus pädev taatluslabor või teavitatud asutus kontrollib mõõtevahendi vastavust kehtestatud nõuetele ja märgistab nõuetele vastava mõõtevahendi taatlusmärgisega",,
3180,taburet,"stool, tabouret",Hocker m.,табуретка,jakkara,Seljatoe ja käetoeta üheinimeseiste,,
3181,taganurk,"back angle, clearance angle, relief angle",Freiwinkel m,задний угол,päästökulma,Nurk lõiketasapinna ja lõiketera tagatahu vahel,,
3182,"tagapukk, kärnipukk","tailstock, movable suport",Reitstock m,задняя бабка (токарного станка),siirtopylkkä,"Treipingi osa, millele on kinnitatud tagatsenter",,
3183,"tagapukk, tagumine tsenterpukk",tailstock,Drehmaschinenreitstock m,бабка ж задняя,,Treipingi tagumine (parempoolne) tsenterpukk,,
3184,tagasein,"back plate, back panel, back","Hinterwand f, Hinterstück n",задняя стенка ж,"taustalevy, takalevy",Mahutusmööbli jms tagumine sein,,
3185,tagasilöögikaitse,"anti-kickback device, anti-kick device","Rückschlagsicherung f, Rückstoßsicherung f, Rückschlagschutz m, Rückstoßschutz m","когтевая защита от выброса, противовыбрасыватель ж",takaiskusuoja,Töödeldava tooriku tagasipaiskumist vältiv kaitseseade,,
3186,"tagatahk, hambaselg",back face,Freifläche f,задняя грань,päästöpinta,Lõiketera esitahu vastas asuv tahk (pind),,
3187,tagatahu kaldteritusnurk,back bevel angle,Rückenkantenwinkel m,угол косой заточки задней грани,päästöpinnan teroituskulma,Nurk liikumistasapinna ja saehamba tagatahu vahel,,
3188,tahhogeneraator,tachogenerator,Tachogenerator m,тахогенератор,tahtigeneraattori,Seadis samasuurusega elektriimpulsside genereerimiseks võrdsete ajavahemike järel CNC-tehnoloogias,,
3189,"tahk, luisk","sharpening stone, abrasive stone, olistone, waterstone",Schleifstein m,оселка,hiomakivi ,Abrasiivtahukas lõikeriistade teritamiseks,,
3190,tahmpigment,"black pigment, carbon black",Rußpigment n,сажа ж,"hiilimusta, musta pigmentti",Orgaaniliste ainete mittetäielikul põlemisel või termilisel lagune-misel tekkiv peamiselt süsinikust koosnev musta värvi aine,,
3191,tahumine,"dubbing, hewing, hacking, dressing, rough-shaping",Behauen n,тесание ср,"hakkaus, veistäminen?",Kirvega tahuliseks töötlemine,,
3192,"tahumiskirves, puusepakirves","adz, side ax",Deissel m,тёсло ср,piilu,Puusepatöödeks (tahumiseks) kasutatav õhema labaga kirves,,
3193,tahutud palk,hewn log,behaute Block m,тесанное бревно ср,,Palkseina paksuseks kahelt poolt tahutud  palk,,
3194,tahvel,"table, panel",Tafel f,доска ж,"taulu, taulukko, levy",Korrapärase (hrl nelinurkse) kujuga õhem tükk mingit materjali,,
3195,taimne liim,vegetable glue,Pflanzenleim m,растительный клей м,kasviliima,Taimsest toorainest valmistatud liim,,
3196,takjapael,velcro,,,,Haakuvate kidadega kinnituspael,,
3197,tala,"beam, joist","Träger m, Tragbalken m","балка ж, лага ж","hirsi, palkki",Tugedel asetsev rõhtloodis kandetarind,,
3198,"taldlihvik, vibrolihvik",vibratory sander,Schwingschleifer m,шлифовальный аппарат вибрационный,,"Käsilihvimisseade, mille tald koos lihvpaberiga võngub suure sagedusega",,
3199,taldriktoitur,"plate feeder, disk feed",Scheibenspeiser n,тарельчатый питатель м,"lautassyötin, levysyötin","Taldrikukujulise pöörleva põhjaga toiteseade, milles väljuvat materjalikogust reguleeritakse taldrikaluse pöölemiskiiruse või materjali taldrikult eraldava saabri kaldenurgaga",,
3200,tallõli,tall oil,Tallöl n,талловое масло ср,mäntyöljy,Sulfaatseebi töötlemisel väävelhappega saadav sulfaattselluloosi kõrvaltoode,,
3201,tallõlialküüd,tall oil alkyd,Tallölalkyd n,алкид на базе таллового масла м,mänty(öljy)alkydi,tallõliga modifitseeritud alküüdvaik,,
3202,tamburivalts,"batch roll, machine roll","Maschinenrolle f, Tambour m",тамбурный валик м,"konerulla, tambuurirulla","Metallvalts, millele keritakse paber masinast väljumisel",,
3203,tamm - harilik,"common oak, ",Eiche f,дуб черешчатый м,tammi,"Quercus robur. Puitu kasutatakse tisleritoodete valmistamisel, paadiehituses, parketi ja spooni tootmisel, õlle -ja veinivaadide tootmisel.",,
3204,tamme pruunisus,brown oak,Braunkern m,побурение дуба с,ruskolaho,"Biokahjustus, mis piirdub kasvava tamme lülipuiduga ja mida varases staadiumis iseloomustab pruun leegikujuline värvusmuudatus",,
3205,"tamsa, õmblusnöör",thread for netting,Spagat m,шпагат,ompelunaru,Kanepikiust valmistatud kõrge tõmbetugevusega parafiinitud võrguniit servakandi- ja läbivate õmbluste ning täidise kinnitusaasade õmblemiseks,,
3206,tangentsiaallõige,"plain cut, , flat cut, crown cut",Tangentialschnitt m,"тангенциальный разрез м, тангентальная распиловка ж",tangentin suuntainen leikkaus,Lõige puutüve aastarõnga puutuja sihis,,
3207,tangentsiaallõikus,crown cut/flat cut,Flachmessern n,тангентальное строгание ср,,"Höövelspooni lõikamise viis, kus kasutatakse aastarõngaste suhtes tangentsiaalsuunalist lõikamist",,
3208,tangentsiaalnõgususnurk,tangential clearence angle,"Tangentialfreiwinkel m, Freiwinkel m in Schnittrichtung",угол тангенциального поднутрения,tangentiaalinen sivupäästökulma,Nurk külglõikepinna ja külgtahu vahel tangentsiaalsuunas,,
3209,tangentsiaalsaematerjal,"plain sawn timber, flat sawn timber, slash sawn timber","Tangentialschnittholz n, Schnittholz n mit liegenden Wachstumsringen",пиломатериал м тангентальной распиловки,"vuosilusto, loiva","Saematerjal, mille külg on risti või ligikaudu risti säsikiirtega. Juhul, kui säsikiired ei ole nähtavad – saematerjal, mille külg on tangentsiaalsuunas või ligikaudu tangentsiaalsuunas kasvurõngastele",,
3210,tanniin,tannin,Tannin n,таннин м,tanniini,Puukoorest ja lehtedest saadav parkuva toimega ekstraktiivaine,,
3211,tapeedipaber,"hanging paper, wall paper",Tapete f,обойная бумага ж,tapetti,Trükitud mustriga seinakatte valmistamiseks kasutatav paber,,
3212,tapifrees,"tenon cutter, dovetail cutter",Zapfenschneidscheibe f,пазовая фреза,"tapituskone, sinkauskone",Liitfrees tappide freesimiseks,,
3213,tapifrees,tenon cutter,Fräswerkzeugsatz m für Schlitz und Zapfen ,фреза ж для вырезки шипов,,Lõikeriist tapikeelte ja -kahvlite lõikamiseks,,
3214,tapikahvel,mortise member (of a bridle joint)?,Schlitz m,проушина,tappiliitoksen lovikappale,kahvlikujuline ühendusosa raampuu otsas,,
3215,tapikeel,"tongue, tong, stud, spike, nib",Zapfen m,шип,tappi,"Detaili väljaaste, mis liite moodustamiseks paigaldatakse teise detaili sellekohasesse pessa või nuuti",,
3216,tapikeelega eerungnurk,reinforced mitred joint,auf Gehrung geschlitzte Zapfen m,угловое концевое соединение на ус одинарным шипом,vahvistettu jiiriliitos,raami tapikeele abil ühendatav eerungnurk,,
3217,tapikiil,tenon wedge,"Keil m für Zapfen, Zapfenkeil m",клин шипа,kiila,Ühenduse tihendamiseks tapikeele lõhikusse löödud kiil,,
3218,tapipeitel,mortise chisel ,Bandhacke f,шипoвoe дoлoтo ,,Suurema paksusega peitel sügavate tapipesade väljaraiumiseks,,
3219,tapipesa,"mortise, mortice","Zapfenloch m, Langloch m",гнездо для шипа/под шип,tapin lovi,"Detaili süvend, kuhu liite moodustamiseks paigaldatakse teise detaili väljaaste - tapikeel",,
3220,tapipõsk,cheek?,Zapfenwange f,щечка шипа,tapin kylki,tapikeele külgpind,,
3221,tapisaag,tenon saw,Zapfensäge f,пила шиповая,sinkkaussaha,Peenehambuline saag tappide saagimiseks,,
3222,tapiõlg,shoulder,Zapfenschutter m,заплечик,tapin olkapää,Detaili tapikeelega risti asetsev tugipind,,
3223,tapphing,pivot hinge?,Zapfenband n,пятниковая петля,tappisarana,Ukse rõhtserva uputatav paralleelselt pöörduvate tiibadega hing,,
3224,tappseotis,"tenon joint, tenoning, mortise joint, tongued joint",Zapfenverbindung f,шиповое соединение,tappiliitos,"Liide, milles ühe detaili eend(id) on kinnitatud teise detaili vastava kujuga väljalõikesse",,
3225,tarbepuit,"casewood, factory timber","Nutzholz n, Werkholz n",деловая древесина ж,"tarvepuu, sahatavara",Ehitusmaterjaliks ja tööstuses tooraineks kasutatav puit,,
3226,tarbevärv,"house paint, commodity paint",Nutzfarbe f,бытовая краска ж,kauppamaali,Eluruumides kasutatav värv,,
3227,tarrendvärv,"jelly paint, gel paint",Gallertfarbe f,тиксотропная краска ж,hyytelömaali,Tiksotroopsete omadustega värv,,
3228,tarvik,fitting,Requisiten n pl,"оснастка ж, принадлежности мн",tarvike,Mingiks tööks vajalikud abivahendid,,
3229,tasakaaluniiskus,equilibrium moisture,Gleichgewichtsfeuchte f,равновесная влажность ж,tasapainokosteus,"Niiskussisaldus, mille puhul antud keskkonnatingimustes puit ei anna ära ega võta juurde niiskust",,
3230,tasandusfrees,planing cutterhead ,"Fügelfräser m, umgangsscheidend",фреза ж выравнивающая,,Sirgete lõikeservadega riist tooriku servade töötlemiseks,,
3231,tasandusklots,topping jig?,"Zahnausrichtungsmittel n, Zahnrichtungsklotz m",колодка для выравнивания зубьев,tasaustuki,Vahend sae hambatippude tasandamiseks,,
3232,"tasandusvalts, eguttervalts",dandy roll,"Egoutteur m, Vordruckwalze f",ровнитель м,"egutööri, viirarulla",Sõelpinnaga silinder paberimasina sõelaosas paberi struktuuri ühtlustamiseks või vesimärkide tekitamiseks,,
3233,"tasapinnaline pesafrees, nihkliikumisega pesafrees",oscillating mortice chisel,Vibrations-Stemm-Werkzeug n,гнездовая долбежная фреза,loviporakone,Ostsilleeriva lõikeliikumisega õhuke plaadikujuline lõikeriist kasutamiseks nelinurkse ristlõikega avade töötlemiseks,,
3234,taster,caliper,Taster m,кронциркуль,"mittaharppi, kärkiharppi",Esemete ligikaudseks mõõtmiseks kasutatav sirklitaoline vahend,,
3235,taustanööbi ja konksuga kinnitus,,,фиксатор подушек спинки ,taustanappi kiinitys, Moodus toote seljapatjade kinnitamiseks raami kulge.,,
3236,TCT,Tungsten-carbide tipped,Wolfram-Hartmetall,вольфрам-карбитные резцы,wolframi-HM,Volframkarbiidiga tugevdatud lõiketerad,,
3237,teemantlõikeriist,diamond tool,Diamantwerkzeug n,резущий инструмент с алмазными режущими кромками,timanttiterä,Sünteetilisest teemandist lõiketeradega lõikeriist,,
3238,tegelik mõõde,"actual size, off(-saw) size","tatsächliliches Mass n, Istmass n",действительный размер м,todellinen mitta,"Saematerjali, tooriku või detaili mõõde mõõtmishetkel",,
3239,tehas,"mill, factory","Werk n, Betrieb m",завод м,tehdas,Masinaid kasutav tööstuslik tootmiskäitis,,
3240,tehniline seadistamine,"machine setup, job setting",Einrichten n,наладка,teknisten asetusten tai asetteen tekeminen,Tööpingi sõlmede täpse ja kooskõlastatud tegevuse tagamine,,
3241,tehnilised tingimused,technical requirements,Qualitätsvorschrift f,технические условия мн,tekniliset vaatimukset,"Tootele, materjalile jne esitatavad tehnilised nõuded",,
3242,tehnoloogiakaart,process chart,Arbeitskarte f,технологическая карта,prosessikaavio,"Tehnoloogiadokument, mis sisaldab andmeid toote valmistamise kohta",,
3243,tehnoloogiaprotsess,"technological process, manufacturing process","Produktionsablauf m, Fertigungsablauf m, Fertigungsprozeß m",технологический процесс,tekninen prosessi,"Operatsioonide kogum, mille käigus töödeldav objekt muutub valmisproduktiks",,
3244,tehnoloogiaprotsessi staadium,stage of the technological process,Produktionsablaufstadium n,стадия технологического процесса,tekninen prosessivaihe,"Tehnoloogiaprotsessi osa, mille operatsioone ühendab ühesugune töötlusviis",,
3245,tehnoloogiaskeem,"flow chart, flow sheet",technologisches Schema n,технологическая схема ж,"kulkukaavio, virtauskaavio",Tehnoloogilise protsessi kulgemise skemaatiline kujutis,,
3246,tehnoloogiline baas(pind),processing datum surface (axis),technologische Basis f,технологическая база,tekninen peruste,"Pindade, joonte või punktide kogum, mille järgi orienteeritakse tooriku töötlemisel selle teised pinnad või teised detailid",,
3247,tehnoloogiline distsipliin,tehnological distcipline,tehnologische Disziplin,технологическая дисциплина,teknologinen kuria,Tehnoloogilises dokumentatsioonis fikseeritud nõuete täpne täitmine tootmisprotsessis,,
3248,tehnoloogiline dokumentatsioon,technological documentation ,Fertigungsunterlagen f pl,технологическая документация ж,,Tehnoloogiaprotsessi kirjeldavad dokumendid (tehnoloogiakaardid jne),,
3249,tehnoloogiline ebatasasus,technological nonflatness,technologischer Ebenheitsfehler m,"технологичное отклонение от плоскости, неплоскостность ж",käsittelyvaurio,"Töötlemise järel moodustunud jäljed (kinemaatiline laine, astmed, karvkiulisus jms) töödeldaval pinnal",,
3250,tehnoloogiline hoidmine,technological holding,R.R,технологическая выдержка,kontaktin ylläpitäminen liimauksessa,Liimitud või viimistletud toodete hoidmine liimi või viimistluskatte kõvastumiseks,,
3251,tehnoloogiline konveier,technological conveyor,technologischer Förderer m,технологический конвейер,tekninen kuljetin,"Konveier, millel operatsioonid sooritatakse konveieril ilma seda maha võtmata",,
3252,tehnoloogiline operatsioon,technological operation,technologische Operation f,технологическая операция,tekninen operaatio,"Tehnoloogiaprotsessi lõpetatud osa, mis sooritatakse ühel töökohal või pingil ilma toorikut vahetamata",,
3253,tehnoloogiline vesi,process water,Betriebswasser n,технологическая вода ж,tehdastusvesi,Tehnologilises protsessis kasutatav ja vajadusel eelnevalt töödeldud vesi,,
3254,tehnoloogilisus,technological effectiveness,Fertigungsgerechtheit f,технологчность ж,,Toote lihtne ja ratsionaalne valmistatavus olemasolevate vahenditega,,
3255,teivas,"stake, barling, poker","Stab m, Stange f","шест м, шток м",seiväs,"Väikese läbimõõduga ümarpuit, mis on tavaliselt ühest otsast teravdatud",,
3256,teks,nail,,"гвоздь тексовый, текс гвоздь обойный нарезанный из стального листа",nupinaula, teraslehest lõigatud nael kangaste kinnitamiseks,,
3257,tekstuur,"texture, figure, grain",Textur f,текстура ж,rakenne,"Puidu nähtav eripära, mis on määratud ta anatoomilise ehituse ning kasvurõngaste laiuse ja reeglipärasusega",,
3258,tekstuuri ilmestamine,,Strukturieren n,проявление текстуры,,"Puidu tekstuuri esiletoomine harjamise, põletamise, abrasiivjoaga töötlemise või söövitamise teel",,
3259,tekstuuri järgi komplekteerima,match,Zusammensetzen n nach Textur,комплектовать/подбирать по текстуре,"syyrakenteen mukaan kokoaminen, pintakuvion mukaan kokoaminen",Höövelspoonilehtede kokkusobitamine dekoratiivseks pealistuseks lähtudes puidu tekstuuri kujutavast välisilmest,,
3260,tekstuurpaber,ornamental paper,Dekorpapier n,текстурная бумага,,Puidu tekstuuri jäljendav kattematerjal,,
3261,tekstuurpinnakate,texture coating,Texturoberflächendeckung f,текстурное покрытие с,kuvioituspintakäsittely,Puidu tekstuuri imiteeriv viimistlus,,
3262,tekstuurtrükk paberil,graining,Texturdruck m auf Papier,печатное изображение ср текстуры на бумаге,"(paperin) kuvioitus, paperin pinnan kuviopuristus, martioiminen, jyväistys",Puidu tekstuuri imiteeriv trükk paberil,,
3263,teleskoopmõõdik,telescopic counter,Teleskopmessstab m,телескопическая мерная линейка,,Pikendatav mõõtelatt suuremate pikkuste mõõtmiseks,,
3264,teleskoopsiin,telescopic rail,Teleskopausszug m,направляющая ж телескопная,,Sahtli jooksu pikendav konstruktsioon,,
3265,telg,axis,Achse f,ось ж,"akseli, keskiviiva","Silindriline masinaosa, mis erinevalt võllist ei edasta pöördemomenti, vaid ainult toetab temal või koos temaga liikuvaid osi",,
3266,"telgspiraalpuur, Irvin-spiraalpuur",Irwin auger bit,Irwinbohrer m,шнековое винтовое сверло,kierrepora,Silindrilise keskosaga harva keermega puur käsitsi kõvade puiduliikide ja pikikiudu puurimiseks,,
3267,tempermalm,tempered iron?,schmiedbare Gusseisen n,ковкий чугун,"temperrauta, adusoitu valurauta",Valgemalmi valandite lõõmutamise teel saadud paremate mehaaniliste omadustega materjal,,
3268,tenderpost,cant,Pfosten m,косяк м,,Palkehitiste ukse-ja aknaavade palgiotstele paigaldatav uste- ja aknapiitade  kinnitusdetail,,
3269,tepitud,quilted,gesteppt,стёганный,"toppa-, tikattu",Läbiõmmeldud (ridadena),,
3270,tepitud,quilted,gesteppt,стёганный,"toppa-, tikattu","Läbiõmmeldud (ridadena, mustrina)",,
3271,tepitud mööblikate,"quilt, sewn upholstery, tufted upholstery",gesteppte Möbeldecke f,покрывало мебельное простёганное,"vanupeite, tikattu peite, tikattu pehmuste",Mustris läbiõmmeldud mööblikate,,
3272,tepitud mööblikate,"quilt, sewn upholstery, tufted upholstery",gesteppte Möbelbezug m.,стёганный настил,"vanupeite, tikattu peite, tikattu pehmustus",Mustris läbiõmmeldud mööblikate,,
3273,tepitud vahekiht,quilt backing,gesteppte Zwischenschicht f.,стёганный промежуточный слой,tikattu välikerros,Läbiõmmeldud vahekiht,,
3274,terade vahetus,reblading,Messerwechsel m,смена ножей,teränvaihto,Noavõlli või freesi nugade väljavõtmine ja hilisem sissepanek teritamise vms eesmärgil,,
3275,teralisus,graininess,Körnigkeit f,зернистость ж,jyväisyys,"Karakteristik, mis iseloomustab teradest koosnevat või neid sisaldavat materjali",,
3276,teras,steel,Stahl m,сталь,teräs,"Deformeeritav (sepistatav) raua, süsiniku (kuni 2%) jm elementide sulam",,
3277,terassilaud,terrace board,Terrassenbrett n,террасная доска ж,terassilauta,Terassi ehituselemendina kasutatav laud,,
3278,terastraat,steel wire,Stahldraht m,проволока стальная,teräslanka,Vasetatud terastraat mööblikarkassi traataluse valmistamiseks ja vedrukandiga polstri kontuurtraadiks,,
3279,"teravdusnurk, teritusnurk","sharpness angle, grinding angle, angle of tooth point, cutting edge angle",Keilwinkel m,"угол заострения, угол заточки зуба",teroituskulma,Nurk lõiketera esi- ja tagatahu vahel,,
3280,teritamine,grinding,Schärfen n,"затачивание, точение",teroitus,"Lõikeriistade hooldusoperatsioon, lõiketera tahult õhukese kihi mahalihvimine lõikeserva teravuse tagamiseks",,
3281,teritusmasin,sharpening machine,Schärfmaschine f,станок для заточки инструмента,teroituskone,Masin lõikeriistade teritamiseks,,
3282,teritusraud,sharpening iron ?,Ziehklingenstahl m,стальная палочка для правки скреба,teroitus rauta,Karastatud terasest ümmargune või ovaalne käepidemega pulk kaaplehe kraadi moodustamiseks,,
3283,teritusrihm,sharpening strap,Schleifriemen m,ремень точильный,teroitus hihna,Nahariba peitlitele terava lõikeserva tekitamiseks,,
3284,termomehaaniline puitmass,thermomechanical pulp,thermomechanischer Holzstoff,термомеханическая масса ж,kuumahierre,Kõrgendatud temperatuuril saadav tumeda värvusega puitmass,,
3285,termopadrun,"shrink chuck, shrink fit chuck",Schrumpffutter m,термопатрон,lämpöistukka,"Täpne, eelkuumutusega ja hilisema jahutusega lõikeriista kinnituspadrun suurtele spindli pöörlemissagedustele ja koormustele",,
3286,termoplastne,thermoplastic,thermoplastisch,термопластичный,termoplastinen,Temperatuuri toimel pehmenev polümeerne materjal,,
3287,termopuit,?,?,?,termopuutavara ?,Termiliselt töödeldud puit,,
3288,termoreaktiivne,thermoreactive,thermoreaktiv,термореактивный,termoreaktiivinen,Pärast kõvenemist temperatuuri toimel enam mitte pehmenev materjal,,
3289,termotöötlus,heat treatment,thermische Behandlung f,термообработка ж,"lämpökäsittely, termokäsittely",Puidu töötlemine kõrgendatud temperatuuridel spetsiifiliste kasutusomaduste parandamiseks,,
3290,terpeenid,terpenes,Terpenen pl,терпены мн,terpeenit,Okaspuude vaigus sisalduvad lipiidide hulka kuuluvad enamasti tsüklilised süsivesinikud,,
3291,terve oks,sound knot,gesunder Ast m,здоровый сучок м,terve oksa, tuore oksa,"Oks, millel puuduvad mädaniku tunnused",
3292,tervikfrees,all steel cutter,Fräswerkzeug aus Vollstahl n,цельная фреза,kurso,Ühest metallitükist valmistatud frees,,
3293,tervikmööbel,"setup furniture, clyed furniture",unzerlegbare Möbel n,неразборная мебель,kiinteärakenteinen huonekalu,Kokkupandult realiseeritav mööbel,,
3294,testlainer,test liner,Testliner m,тестлайнер м,testlaineri,Lainepapi vanapaberist pealiskiht,,
3295,tigudefibröör,"screw grinder, spindle grinder",Spindelschleifer m,винтовый дефибрёр м,ruuvihiomakone,"Defibröör, milles puidu surumine vastu defibröörikivi toimub tiguvõllidega",,
3296,tigupuur,"gimlet bit, snail auger bit","Schneckenbohrer m, Windenschneckenbohrer m","шнековое сверло, буравчик","kieräpora, kierrepora","Juhtteravikuga, kooniline spiraalse osaga puur puidu puurimiseks",,
3297,tigureaktor,auger reactor,Schneckenreaktor m,червячный реактор м,ruuvireaktori,Tiguvõlliga seade keemiliste protsesside (nt pürolüüs) teostamiseks,,
3298,"tigutoitur, tigukonveier","screw feeder, worm feeder","Schneckenförderer m, Schnecke f","шнек, конвейер винтовый","kieräsyötin, ruuvisyötin",Torus pöörleva teoga konveier puistlasti teisaldamiseks,,
3299,tiguvõll,wormed roll,Schnecke f,червяк,ruuviakseli,Teorattaga hambumises olev teoülekande osa,,
